V, Td, I
285.0, 308.188757, 6.99588477e-06
285.0, 308.188757, 6.99588477e-06
285.0, 308.188757, 6.99588477e-06
254.0, 312.720944, 7.09876543e-06
254.0, 312.720944, 7.09876543e-06
253.0, 312.720944, 7.09876543e-06
