V, Td, I
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
285.0, 308.1887565490111, 6.995884773662552e-06
284.0, 308.1887565490111, 6.995884773662552e-06
284.0, 308.1887565490111, 6.995884773662552e-06
284.0, 308.1887565490111, 6.995884773662552e-06
284.0, 308.1887565490111, 6.995884773662552e-06
283.0, 308.1887565490111, 6.995884773662552e-06
283.0, 308.1887565490111, 6.995884773662552e-06
282.0, 308.1887565490111, 6.995884773662552e-06
282.0, 308.1887565490111, 6.995884773662552e-06
282.0, 308.1887565490111, 6.995884773662552e-06
281.0, 308.1887565490111, 6.995884773662552e-06
281.0, 308.1887565490111, 6.995884773662552e-06
280.0, 308.1887565490111, 6.995884773662552e-06
280.0, 308.1887565490111, 6.995884773662552e-06
280.0, 308.1887565490111, 6.995884773662552e-06
279.0, 308.1887565490111, 6.995884773662552e-06
279.0, 308.1887565490111, 6.995884773662552e-06
279.0, 308.1887565490111, 6.995884773662552e-06
278.0, 308.1887565490111, 6.995884773662552e-06
278.0, 308.1887565490111, 6.995884773662552e-06
278.0, 308.1887565490111, 6.995884773662552e-06
278.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
277.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
276.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
275.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
274.0, 308.1887565490111, 6.995884773662552e-06
