V, Td, I
279.0, 308.1887565490111, 6.995884773662552e-06
279.0, 308.1887565490111, 6.995884773662552e-06
279.0, 308.1887565490111, 6.995884773662552e-06
278.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
270.0, 308.1887565490111, 6.995884773662552e-06
268.0, 308.1887565490111, 6.995884773662552e-06
267.0, 308.1887565490111, 6.995884773662552e-06
266.0, 308.1887565490111, 6.995884773662552e-06
265.0, 308.1887565490111, 6.995884773662552e-06
265.0, 308.1887565490111, 6.995884773662552e-06
264.0, 308.1887565490111, 6.995884773662552e-06
263.0, 308.1887565490111, 6.995884773662552e-06
263.0, 308.1887565490111, 6.995884773662552e-06
262.0, 308.1887565490111, 6.995884773662552e-06
262.0, 308.1887565490111, 6.995884773662552e-06
261.0, 308.1887565490111, 6.995884773662552e-06
261.0, 308.1887565490111, 6.995884773662552e-06
260.0, 308.1887565490111, 6.995884773662552e-06
260.0, 308.1887565490111, 6.995884773662552e-06
259.0, 312.7209441453201, 7.098765432098766e-06
258.0, 312.7209441453201, 7.098765432098766e-06
258.0, 312.7209441453201, 7.098765432098766e-06
258.0, 308.1887565490111, 6.995884773662552e-06
257.0, 312.7209441453201, 7.098765432098766e-06
257.0, 312.7209441453201, 7.098765432098766e-06
252.0, 312.7209441453201, 7.098765432098766e-06
248.0, 312.7209441453201, 7.098765432098766e-06
244.0, 312.7209441453201, 7.098765432098766e-06
241.0, 312.7209441453201, 7.098765432098766e-06
239.0, 312.7209441453201, 7.098765432098766e-06
236.0, 312.7209441453201, 7.098765432098766e-06
235.0, 312.7209441453201, 7.098765432098766e-06
233.0, 312.7209441453201, 7.098765432098766e-06
230.0, 317.2531317416291, 7.20164609053498e-06
229.0, 317.2531317416291, 7.20164609053498e-06
228.0, 317.2531317416291, 7.20164609053498e-06
226.0, 317.2531317416291, 7.20164609053498e-06
225.0, 317.2531317416291, 7.20164609053498e-06
223.0, 317.2531317416291, 7.20164609053498e-06
222.0, 317.2531317416291, 7.20164609053498e-06
221.0, 317.2531317416291, 7.20164609053498e-06
220.0, 317.2531317416291, 7.20164609053498e-06
218.0, 317.2531317416291, 7.20164609053498e-06
216.0, 321.7853193379381, 7.304526748971195e-06
215.0, 321.7853193379381, 7.304526748971195e-06
214.0, 321.7853193379381, 7.304526748971195e-06
213.0, 321.7853193379381, 7.304526748971195e-06
212.0, 321.7853193379381, 7.304526748971195e-06
210.0, 321.7853193379381, 7.304526748971195e-06
210.0, 321.7853193379381, 7.304526748971195e-06
209.0, 321.7853193379381, 7.304526748971195e-06
208.0, 321.7853193379381, 7.304526748971195e-06
207.0, 321.7853193379381, 7.304526748971195e-06
206.0, 321.7853193379381, 7.304526748971195e-06
205.0, 321.7853193379381, 7.304526748971195e-06
203.0, 326.3175069342471, 7.407407407407408e-06
203.0, 321.7853193379381, 7.304526748971195e-06
202.0, 326.3175069342471, 7.407407407407408e-06
202.0, 321.7853193379381, 7.304526748971195e-06
201.0, 326.3175069342471, 7.407407407407408e-06
200.0, 326.3175069342471, 7.407407407407408e-06
199.0, 326.3175069342471, 7.407407407407408e-06
198.0, 326.3175069342471, 7.407407407407408e-06
198.0, 326.3175069342471, 7.407407407407408e-06
197.0, 326.3175069342471, 7.407407407407408e-06
197.0, 326.3175069342471, 7.407407407407408e-06
196.0, 326.3175069342471, 7.407407407407408e-06
195.0, 326.3175069342471, 7.407407407407408e-06
194.0, 326.3175069342471, 7.407407407407408e-06
194.0, 326.3175069342471, 7.407407407407408e-06
193.0, 326.3175069342471, 7.407407407407408e-06
192.0, 326.3175069342471, 7.407407407407408e-06
192.0, 326.3175069342471, 7.407407407407408e-06
191.0, 326.3175069342471, 7.407407407407408e-06
191.0, 326.3175069342471, 7.407407407407408e-06
191.0, 326.3175069342471, 7.407407407407408e-06
190.0, 326.3175069342471, 7.407407407407408e-06
189.0, 326.3175069342471, 7.407407407407408e-06
188.0, 326.3175069342471, 7.407407407407408e-06
188.0, 326.3175069342471, 7.407407407407408e-06
188.0, 326.3175069342471, 7.407407407407408e-06
187.0, 330.84969453055606, 7.510288065843621e-06
186.0, 330.84969453055606, 7.510288065843621e-06
187.0, 326.3175069342471, 7.407407407407408e-06
185.0, 330.84969453055606, 7.510288065843621e-06
185.0, 330.84969453055606, 7.510288065843621e-06
186.0, 330.84969453055606, 7.510288065843621e-06
185.0, 330.84969453055606, 7.510288065843621e-06
184.0, 330.84969453055606, 7.510288065843621e-06
184.0, 330.84969453055606, 7.510288065843621e-06
183.0, 330.84969453055606, 7.510288065843621e-06
183.0, 330.84969453055606, 7.510288065843621e-06
182.0, 330.84969453055606, 7.510288065843621e-06
182.0, 330.84969453055606, 7.510288065843621e-06
181.0, 330.84969453055606, 7.510288065843621e-06
181.0, 330.84969453055606, 7.510288065843621e-06
182.0, 330.84969453055606, 7.510288065843621e-06
181.0, 330.84969453055606, 7.510288065843621e-06
181.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
179.0, 330.84969453055606, 7.510288065843621e-06
179.0, 330.84969453055606, 7.510288065843621e-06
178.0, 330.84969453055606, 7.510288065843621e-06
179.0, 330.84969453055606, 7.510288065843621e-06
178.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
179.0, 330.84969453055606, 7.510288065843621e-06
188.0, 330.84969453055606, 7.510288065843621e-06
187.0, 330.84969453055606, 7.510288065843621e-06
184.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
197.0, 330.84969453055606, 7.510288065843621e-06
197.0, 330.84969453055606, 7.510288065843621e-06
188.0, 330.84969453055606, 7.510288065843621e-06
183.0, 330.84969453055606, 7.510288065843621e-06
180.0, 330.84969453055606, 7.510288065843621e-06
178.0, 330.84969453055606, 7.510288065843621e-06
176.0, 335.38188212686504, 7.613168724279835e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
176.0, 330.84969453055606, 7.510288065843621e-06
176.0, 330.84969453055606, 7.510288065843621e-06
175.0, 330.84969453055606, 7.510288065843621e-06
175.0, 330.84969453055606, 7.510288065843621e-06
174.0, 335.38188212686504, 7.613168724279835e-06
175.0, 330.84969453055606, 7.510288065843621e-06
173.0, 335.38188212686504, 7.613168724279835e-06
174.0, 330.84969453055606, 7.510288065843621e-06
173.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
173.0, 330.84969453055606, 7.510288065843621e-06
172.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
174.0, 330.84969453055606, 7.510288065843621e-06
172.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
170.0, 335.38188212686504, 7.613168724279835e-06
170.0, 335.38188212686504, 7.613168724279835e-06
170.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
185.0, 335.38188212686504, 7.613168724279835e-06
189.0, 330.84969453055606, 7.510288065843621e-06
183.0, 330.84969453055606, 7.510288065843621e-06
179.0, 330.84969453055606, 7.510288065843621e-06
177.0, 330.84969453055606, 7.510288065843621e-06
175.0, 330.84969453055606, 7.510288065843621e-06
175.0, 330.84969453055606, 7.510288065843621e-06
174.0, 330.84969453055606, 7.510288065843621e-06
172.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
170.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
172.0, 335.38188212686504, 7.613168724279835e-06
171.0, 335.38188212686504, 7.613168724279835e-06
